,Indicator Name,Year,Afghanistan,Australia,Bahrain,Belgium,Canada,Finland,France,Georgia,Greece,Iraq,Japan,Nepal,New Zealand,Pakistan
396,Arable land (% of land area),2017,11.80411818,3.997909522,2.679487179,27.60898283,4.295199758,7.3769413,33.72136052,4.662541373,16.62441738,11.445933,11.41563786,14.74502965,1.864722191,40.48619759
397,Arable land (% of land area),2018,11.94977232,4.026770601,2.699228792,28.07133421,4.315388056,7.38023164,33.10413345,4.475464096,16.61206129,11.445933,11.36351166,14.74502965,1.969161824,40.42133665
398,Arable land (% of land area),2019,11.94057311,3.974638651,2.692307692,28.31195509,4.310703479,7.386569276,32.99204101,4.417901856,16.5394135,11.445933,11.31412894,14.74502965,2.073601458,39.60408883
399,Arable land (% of land area),2020,12.00343437,3.983868997,2.675159236,28.5626354,4.264638468,7.379746003,32.7939557,4.461073536,16.5394135,11.445933,11.25925926,14.74502965,2.001443166,40.12297634
400,Arable land (% of land area),2021,12.00343437,4.064602016,2.658227848,28.58784676,4.353203545,7.379559049,32.7939557,4.489854655,16.5394135,11.445933,11.20987654,14.74502965,2.339447799,39.57814446
401,Average precipitation in depth (mm per year),1961,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
402,Average precipitation in depth (mm per year),1962,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
403,Average precipitation in depth (mm per year),1963,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
404,Average precipitation in depth (mm per year),1964,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
405,Average precipitation in depth (mm per year),1965,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
406,Average precipitation in depth (mm per year),1966,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
407,Average precipitation in depth (mm per year),1967,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
408,Average precipitation in depth (mm per year),1968,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
409,Average precipitation in depth (mm per year),1969,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
410,Average precipitation in depth (mm per year),1970,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
411,Average precipitation in depth (mm per year),1971,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
412,Average precipitation in depth (mm per year),1972,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
413,Average precipitation in depth (mm per year),1973,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
414,Average precipitation in depth (mm per year),1974,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
415,Average precipitation in depth (mm per year),1975,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
416,Average precipitation in depth (mm per year),1976,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
417,Average precipitation in depth (mm per year),1977,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
418,Average precipitation in depth (mm per year),1978,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
419,Average precipitation in depth (mm per year),1979,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
420,Average precipitation in depth (mm per year),1980,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
421,Average precipitation in depth (mm per year),1981,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
422,Average precipitation in depth (mm per year),1982,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
423,Average precipitation in depth (mm per year),1983,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
424,Average precipitation in depth (mm per year),1984,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
425,Average precipitation in depth (mm per year),1985,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
426,Average precipitation in depth (mm per year),1986,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
427,Average precipitation in depth (mm per year),1987,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
428,Average precipitation in depth (mm per year),1988,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
429,Average precipitation in depth (mm per year),1989,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
430,Average precipitation in depth (mm per year),1990,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
431,Average precipitation in depth (mm per year),1991,327,534,83,847,537,536,867,,652,216,1668,1500,1732,494
432,Average precipitation in depth (mm per year),1992,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
433,Average precipitation in depth (mm per year),1993,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
434,Average precipitation in depth (mm per year),1994,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
435,Average precipitation in depth (mm per year),1995,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
436,Average precipitation in depth (mm per year),1996,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
437,Average precipitation in depth (mm per year),1997,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
438,Average precipitation in depth (mm per year),1998,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
439,Average precipitation in depth (mm per year),1999,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
440,Average precipitation in depth (mm per year),2000,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
441,Average precipitation in depth (mm per year),2001,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
442,Average precipitation in depth (mm per year),2002,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
443,Average precipitation in depth (mm per year),2003,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
444,Average precipitation in depth (mm per year),2004,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
445,Average precipitation in depth (mm per year),2005,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
446,Average precipitation in depth (mm per year),2006,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
447,Average precipitation in depth (mm per year),2007,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
448,Average precipitation in depth (mm per year),2008,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
449,Average precipitation in depth (mm per year),2009,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
450,Average precipitation in depth (mm per year),2010,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
451,Average precipitation in depth (mm per year),2011,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
452,Average precipitation in depth (mm per year),2012,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
453,Average precipitation in depth (mm per year),2013,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
454,Average precipitation in depth (mm per year),2014,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
455,Average precipitation in depth (mm per year),2015,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
456,Average precipitation in depth (mm per year),2016,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
457,Average precipitation in depth (mm per year),2017,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
458,Average precipitation in depth (mm per year),2018,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
459,Average precipitation in depth (mm per year),2019,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
460,Average precipitation in depth (mm per year),2020,327,534,83,847,537,536,867,1026,652,216,1668,1500,1732,494
461,CO2 emissions (kg per 2015 US$ of GDP),1990,,0.417619899,1.192240611,0.372500558,0.477772706,0.349816876,0.214496322,1.966621737,0.477655211,1.035561771,0.310728735,0.113745408,0.254078779,0.593017561
462,CO2 emissions (kg per 2015 US$ of GDP),1991,,0.421250373,1.032844975,0.381347295,0.480747424,0.375578439,0.226804183,1.898416006,0.464509878,2.043174722,0.303856145,0.134666169,0.260553715,0.576685998
463,CO2 emissions (kg per 2015 US$ of GDP),1992,,0.425246993,1.148261768,0.37022327,0.491523898,0.368282148,0.216176342,2.711497773,0.475632589,2.278281255,0.30416485,0.135034019,0.277669072,0.594664094
464,CO2 emissions (kg per 2015 US$ of GDP),1993,,0.415787226,1.08314881,0.366427703,0.473933607,0.379113361,0.206254693,3.074932813,0.482834716,2.325728962,0.303526921,0.148533139,0.256495061,0.64347699
465,CO2 emissions (kg per 2015 US$ of GDP),1994,,0.410237459,1.111277714,0.370425075,0.469364246,0.408764694,0.198591685,2.227064176,0.483308029,2.553310656,0.314688068,0.169842095,0.24670868,0.641354698
466,CO2 emissions (kg per 2015 US$ of GDP),1995,,0.409049762,1.082357837,0.3607495,0.468856787,0.36712442,0.19890259,1.699555443,0.491795548,2.45017812,0.309323273,0.178375837,0.236555678,0.662985652
467,CO2 emissions (kg per 2015 US$ of GDP),1996,,0.407486772,1.08717926,0.371209164,0.475447406,0.395060753,0.204859054,1.189328832,0.477645016,2.180753814,0.303423079,0.175016103,0.238502704,0.65590828
468,CO2 emissions (kg per 2015 US$ of GDP),1997,,0.4020687,1.073991558,0.349216947,0.470859664,0.35994858,0.195384322,0.933327748,0.462714059,2.16309326,0.297420265,0.186357465,0.254572105,0.676115785
469,CO2 emissions (kg per 2015 US$ of GDP),1998,,0.40901109,1.101194431,0.350655688,0.460783122,0.322413736,0.200191596,0.81853239,0.463262044,1.238083078,0.290373981,0.191164416,0.24777114,0.665409412
470,CO2 emissions (kg per 2015 US$ of GDP),1999,,0.397002662,1.053202267,0.327602224,0.446735441,0.304809664,0.190431264,0.721053162,0.450836237,0.834182229,0.301315735,0.246968337,0.247520556,0.703002568
471,CO2 emissions (kg per 2015 US$ of GDP),2000,,0.388675176,1.027743345,0.320675437,0.44187569,0.280969887,0.182377659,0.747273256,0.468902194,0.859806659,0.297089924,0.23979392,0.247693158,0.671552596
472,CO2 emissions (kg per 2015 US$ of GDP),2001,,0.387842016,1.03496539,0.320068583,0.427690005,0.303595082,0.180566789,0.525286081,0.460533433,0.94059803,0.292927533,0.246115921,0.257118974,0.658147172
473,CO2 emissions (kg per 2015 US$ of GDP),2002,0.185704364,0.381263999,1.052471819,0.294780225,0.429695738,0.30999005,0.175842284,0.41901973,0.443096047,0.95750128,0.301401613,0.197722168,0.244956248,0.658045216
474,CO2 emissions (kg per 2015 US$ of GDP),2003,0.201059533,0.36931736,1.031675696,0.303995447,0.438342849,0.343509352,0.177071601,0.402649345,0.43452451,1.347705489,0.298608213,0.206265741,0.247647884,0.642399276
475,CO2 emissions (kg per 2015 US$ of GDP),2004,0.154976095,0.367678385,0.963451084,0.288046606,0.418872317,0.311780534,0.172705931,0.406622161,0.41205738,0.952498856,0.290620636,0.183202487,0.233919419,0.66883191
476,CO2 emissions (kg per 2015 US$ of GDP),2005,0.211501387,0.359027026,1.041616296,0.27557353,0.415412653,0.248567009,0.171169375,0.466740896,0.418229407,0.90514606,0.287407296,0.200924978,0.235952783,0.645387851
477,CO2 emissions (kg per 2015 US$ of GDP),2006,0.233694442,0.354474142,1.063053735,0.261743566,0.398478814,0.288768918,0.163095557,0.472622892,0.391021718,0.834932295,0.278284274,0.159483713,0.229755445,0.663037323
478,CO2 emissions (kg per 2015 US$ of GDP),2007,0.256024456,0.350941201,1.004146505,0.242707121,0.41285697,0.266371427,0.155512709,0.502441638,0.392188566,0.757168434,0.282247514,0.158791046,0.216446861,0.697050473
479,CO2 emissions (kg per 2015 US$ of GDP),2008,0.378522813,0.341672922,1.017492098,0.248160789,0.393679285,0.230024663,0.153048884,0.421889326,0.378778583,0.80444161,0.269653998,0.166395225,0.224992798,0.66151513
480,CO2 emissions (kg per 2015 US$ of GDP),2009,0.467413571,0.340842103,0.990481807,0.237113641,0.384070256,0.239280349,0.15127338,0.50895565,0.373467804,0.83173004,0.272004303,0.206371543,0.205495212,0.664342709
481,CO2 emissions (kg per 2015 US$ of GDP),2010,0.534410058,0.335290015,0.997291047,0.246589436,0.383771065,0.267610802,0.15013159,0.453281138,0.365245161,0.900710156,0.274298906,0.23533022,0.201742381,0.631526969
482,CO2 emissions (kg per 2015 US$ of GDP),2011,0.742222918,0.326172086,0.979848971,0.218919254,0.380571266,0.230064938,0.141460075,0.517187254,0.392432353,0.872146108,0.287630526,0.254917638,0.192535411,0.620376163
483,CO2 emissions (kg per 2015 US$ of GDP),2012,0.561765919,0.314920266,0.986625231,0.214581796,0.371889961,0.209134108,0.142400558,0.536259855,0.400074141,0.873573487,0.293207389,0.28095226,0.199547711,0.60836274
484,CO2 emissions (kg per 2015 US$ of GDP),2013,0.489964677,0.30136858,0.993748379,0.216459306,0.369712568,0.214382306,0.141642195,0.577307351,0.371447698,0.875197469,0.29043599,0.275457781,0.192836815,0.591554003
485,CO2 emissions (kg per 2015 US$ of GDP),2014,0.470845775,0.286863218,0.999507303,0.19943763,0.363289619,0.197892786,0.12685493,0.596210713,0.354717255,0.841717637,0.27813802,0.304414455,0.186254242,0.59703807
486,CO2 emissions (kg per 2015 US$ of GDP),2015,0.502926181,0.285641949,0.98202168,0.205686097,0.358974645,0.182554897,0.127573323,0.628567852,0.347551994,0.798503461,0.265099546,0.294990296,0.181289394,0.606721848
487,CO2 emissions (kg per 2015 US$ of GDP),2016,0.454516148,0.28455163,0.942331417,0.201138885,0.354224067,0.189526968,0.127269574,0.637731453,0.343288287,0.755033494,0.260106196,0.438795201,0.168722699,0.634352274
488,CO2 emissions (kg per 2015 US$ of GDP),2017,0.477468931,0.27985553,0.909935491,0.19460347,0.35075067,0.172873401,0.125959209,0.614070501,0.339309833,0.83974323,0.252738221,0.497522375,0.172080904,0.666540622
489,CO2 emissions (kg per 2015 US$ of GDP),2018,0.516563215,0.27126705,0.900745074,0.193108046,0.348119549,0.176409278,0.119460364,0.574951382,0.324876359,0.879367744,0.242455326,0.527596163,0.163604356,0.590400008
490,CO2 emissions (kg per 2015 US$ of GDP),2019,0.509189796,0.264924907,0.942305816,0.187759538,0.333667121,0.160895151,0.114857905,0.594090055,0.29419597,0.895533173,0.235225039,0.452879093,0.167578363,0.567476919
491,CO2 emissions (kg per 2015 US$ of GDP),2020,0.404094524,0.254192911,0.973318369,0.18212978,0.320993687,0.146052771,0.110709961,0.619372241,0.274866936,0.921298951,0.232102256,0.500306737,0.155544789,0.5748469
492,CO2 emissions (kg per 2017 PPP $ of GDP),1990,,0.497875665,0.560899279,0.308870315,0.438301881,0.332193684,0.18137673,0.626271532,0.305652524,0.48809231,0.268875771,0.030784469,0.239310563,0.167049662
493,CO2 emissions (kg per 2017 PPP $ of GDP),1991,,0.502203822,0.485910307,0.316205859,0.441030845,0.356657422,0.19178418,0.604551388,0.297240799,0.963011476,0.26292887,0.036446539,0.245409146,0.162449154
494,CO2 emissions (kg per 2017 PPP $ of GDP),1992,,0.50696849,0.540209075,0.306982032,0.450917028,0.349728706,0.182797345,0.863477624,0.304358244,1.07382446,0.263195995,0.036546095,0.261529681,0.167513481
495,CO2 emissions (kg per 2017 PPP $ of GDP),1993,,0.4956908,0.509576155,0.303834821,0.434779946,0.360014261,0.174407661,0.979213668,0.3089669,1.096188033,0.26264399,0.040199546,0.241586399,0.181263795
496,CO2 emissions (kg per 2017 PPP $ of GDP),1994,,0.489074511,0.522809626,0.307149364,0.43058808,0.388171808,0.167927871,0.709209538,0.309269773,1.203454328,0.27230181,0.045966679,0.232368848,0.180665957
497,CO2 emissions (kg per 2017 PPP $ of GDP),1995,,0.487658569,0.509204035,0.299126563,0.430122544,0.348629303,0.168190769,0.541224157,0.314700954,1.154844773,0.267659615,0.048276282,0.222805985,0.186759274
498,CO2 emissions (kg per 2017 PPP $ of GDP),1996,,0.485795212,0.511472313,0.307799516,0.436168684,0.375158249,0.173227518,0.378742275,0.305646,1.027856759,0.262554135,0.047366991,0.22463984,0.184765618
499,CO2 emissions (kg per 2017 PPP $ of GDP),1997,,0.479335927,0.505268051,0.289563992,0.431959955,0.341814969,0.165215744,0.29721862,0.296091651,1.019532794,0.257359857,0.050436459,0.239775215,0.190457957
500,CO2 emissions (kg per 2017 PPP $ of GDP),1998,,0.487612465,0.518065864,0.290756968,0.422715878,0.306171068,0.169280745,0.260661989,0.296442308,0.583546869,0.251262659,0.051737429,0.233369553,0.187442033
501,CO2 emissions (kg per 2017 PPP $ of GDP),1999,,0.473296327,0.495487561,0.271641478,0.409828736,0.28945386,0.16102747,0.229619687,0.288491009,0.393175899,0.260730636,0.066840404,0.233133533,0.19803181
502,CO2 emissions (kg per 2017 PPP $ of GDP),2000,,0.463368513,0.483510204,0.265897919,0.405370469,0.266815091,0.154217392,0.237969488,0.300051451,0.405253486,0.257074011,0.064898694,0.233296103,0.189172533
503,CO2 emissions (kg per 2017 PPP $ of GDP),2001,,0.462375241,0.486907873,0.265394727,0.392356724,0.288300467,0.152686133,0.167277577,0.294696264,0.44333296,0.253472265,0.066609703,0.242174048,0.185396302
504,CO2 emissions (kg per 2017 PPP $ of GDP),2002,0.05217654,0.454533099,0.495143915,0.244426106,0.394196755,0.294373267,0.148691121,0.133437012,0.283538046,0.451299984,0.260804946,0.053512243,0.230718275,0.185367581
505,CO2 emissions (kg per 2017 PPP $ of GDP),2003,0.056490814,0.440290625,0.48536021,0.252067191,0.402129491,0.326203922,0.149730624,0.128223856,0.278053102,0.635215304,0.258387798,0.055824506,0.233253461,0.180960209
506,CO2 emissions (kg per 2017 PPP $ of GDP),2004,0.043542953,0.438336681,0.453263387,0.238842718,0.384267502,0.296073549,0.14603904,0.129489001,0.263676341,0.448942187,0.251476091,0.049582584,0.220322956,0.188406131
507,CO2 emissions (kg per 2017 PPP $ of GDP),2005,0.059424616,0.428022754,0.490036846,0.228500283,0.381093656,0.236044617,0.144739739,0.148633838,0.267625833,0.426623349,0.248695565,0.054379063,0.222238132,0.181802074
508,CO2 emissions (kg per 2017 PPP $ of GDP),2006,0.065660101,0.422594923,0.500122263,0.217032742,0.365558793,0.274221221,0.13791257,0.150506962,0.250215578,0.393529429,0.240801349,0.043163249,0.216401011,0.186773829
509,CO2 emissions (kg per 2017 PPP $ of GDP),2007,0.071934067,0.418383042,0.472408879,0.201248087,0.378749109,0.252952078,0.131500561,0.160002754,0.250962247,0.356876915,0.244230769,0.042975783,0.203865984,0.19635514
510,CO2 emissions (kg per 2017 PPP $ of GDP),2008,0.106351893,0.407333639,0.478687421,0.205770165,0.361155773,0.218436404,0.129417167,0.134350836,0.242381172,0.379158225,0.233333511,0.045033805,0.211915192,0.186345036
511,CO2 emissions (kg per 2017 PPP $ of GDP),2009,0.131327139,0.406343158,0.465980211,0.196610081,0.352340587,0.227225803,0.127915812,0.162077144,0.238982794,0.392020107,0.235367246,0.055853141,0.193550894,0.187141549
512,CO2 emissions (kg per 2017 PPP $ of GDP),2010,0.150150848,0.399724103,0.469183673,0.204467229,0.352066113,0.254129015,0.126950321,0.144347572,0.233721109,0.42453257,0.237352782,0.063690622,0.190016195,0.177897542
513,CO2 emissions (kg per 2017 PPP $ of GDP),2011,0.208539115,0.388853943,0.460977907,0.181523645,0.349130663,0.218474649,0.119617743,0.164698502,0.251118247,0.41106945,0.248888727,0.068991832,0.181344376,0.174756424
514,CO2 emissions (kg per 2017 PPP $ of GDP),2012,0.157836904,0.375439813,0.464165853,0.177927107,0.341166557,0.198598279,0.120413009,0.17077218,0.256008243,0.411742219,0.253714427,0.076037936,0.187949089,0.171372311
515,CO2 emissions (kg per 2017 PPP $ of GDP),2013,0.137663225,0.359283843,0.467516996,0.179483903,0.339169048,0.203582082,0.119771743,0.183843772,0.237690125,0.412507652,0.251316316,0.07455089,0.181628261,0.166637386
516,CO2 emissions (kg per 2017 PPP $ of GDP),2014,0.132291471,0.341990925,0.470226328,0.165369856,0.333276727,0.187923277,0.107267725,0.189863556,0.22698428,0.396727571,0.240674795,0.082387829,0.175428297,0.168182216
517,CO2 emissions (kg per 2017 PPP $ of GDP),2015,0.141304961,0.34053496,0.462000075,0.170550965,0.329318231,0.173358085,0.107875193,0.200167701,0.222399215,0.376359392,0.229392512,0.079837241,0.170752028,0.170910081
518,CO2 emissions (kg per 2017 PPP $ of GDP),2016,0.127703407,0.339235109,0.443327469,0.166780504,0.324960118,0.179978915,0.107618346,0.203085854,0.219670861,0.355870651,0.22507173,0.11875712,0.158915767,0.178693415
519,CO2 emissions (kg per 2017 PPP $ of GDP),2017,0.13415235,0.333636539,0.428086542,0.161361463,0.321773673,0.164164327,0.106510309,0.195551014,0.21712504,0.395796972,0.218696169,0.134651255,0.162078778,0.187760688
520,CO2 emissions (kg per 2017 PPP $ of GDP),2018,0.145136499,0.323397576,0.423762836,0.160121487,0.31935992,0.167522073,0.101014927,0.183093513,0.207889031,0.414473231,0.209798308,0.142790534,0.154094925,0.166312312
521,CO2 emissions (kg per 2017 PPP $ of GDP),2019,0.143064822,0.315836636,0.443315424,0.155686606,0.306101468,0.152789521,0.097123117,0.189188232,0.188256589,0.422092498,0.203541889,0.122568836,0.157837945,0.159855009
522,CO2 emissions (kg per 2017 PPP $ of GDP),2020,0.113536665,0.303042228,0.457905532,0.151018519,0.29447504,0.138694876,0.093615641,0.197239355,0.175887902,0.434236707,0.200839722,0.135404825,0.146503817,0.16193109
523,CO2 emissions (kg per PPP $ of GDP),1990,,0.888141763,0.806492954,0.586828769,0.748845879,0.602988554,0.346598971,1.218220079,0.557089213,,0.451035594,0.057967776,0.451615026,0.253551567
524,CO2 emissions (kg per PPP $ of GDP),1991,,0.858663482,0.675815082,0.581114293,0.728859922,0.626216975,0.35449845,1.137502545,0.5240357,0.951606633,0.426972195,0.066384601,0.445730946,0.238503207
525,CO2 emissions (kg per PPP $ of GDP),1992,,0.841112773,0.734594295,0.551592693,0.72859458,0.600369845,0.33035861,1.588488774,0.524628431,1.037464388,0.418144133,0.065082757,0.463238985,0.24045867
526,CO2 emissions (kg per PPP $ of GDP),1993,,0.805643689,0.676893945,0.53329632,0.686253586,0.603716385,0.30789817,1.759690886,0.520240223,1.034548412,0.407683966,0.069931358,0.42114884,0.254171939
527,CO2 emissions (kg per PPP $ of GDP),1994,,0.779879421,0.679952715,0.527842841,0.665427224,0.637324997,0.290260539,1.247834794,0.509863111,1.112036341,0.406285625,0.078292029,0.391434391,0.248036998
528,CO2 emissions (kg per PPP $ of GDP),1995,,0.766004177,0.648655963,0.503497544,0.651055925,0.560645531,0.284744049,0.932711082,0.508161004,1.045202455,0.391157102,0.080537042,0.370406537,0.251136453
529,CO2 emissions (kg per PPP $ of GDP),1996,,0.744268372,0.639830348,0.517071022,0.648336821,0.607862272,0.288312681,0.640964351,0.483004526,0.913544133,0.376796934,0.077599297,0.369336581,0.243988225
530,CO2 emissions (kg per PPP $ of GDP),1997,,0.722478384,0.621354251,0.482712453,0.631218036,0.541189852,0.269253212,0.494471011,0.457956236,0.890784939,0.363081534,0.081227167,0.38288037,0.247241608
531,CO2 emissions (kg per PPP $ of GDP),1998,,0.722075391,0.630001508,0.480259841,0.610819555,0.471296354,0.271120696,0.428826587,0.450651837,0.504181127,0.350534212,0.082394977,0.368791596,0.24061827
532,CO2 emissions (kg per PPP $ of GDP),1999,,0.696446171,0.594171574,0.443998449,0.583968502,0.441708781,0.255013604,0.372508016,0.439810163,0.334981046,0.358688196,0.104968131,0.362537717,0.250679647
533,CO2 emissions (kg per PPP $ of GDP),2000,,0.672571384,0.566963904,0.411660759,0.570717891,0.397328158,0.234805715,0.37750128,0.447831461,0.337622014,0.342200731,0.099660946,0.355100881,0.234160074
534,CO2 emissions (kg per PPP $ of GDP),2001,,0.649051183,0.558368239,0.399543538,0.540225041,0.423540725,0.223385156,0.259512944,0.424356469,0.361208665,0.329972368,0.100034704,0.36171409,0.224429519
535,CO2 emissions (kg per PPP $ of GDP),2002,0.070839769,0.624579098,0.559099295,0.35426675,0.540011693,0.426445982,0.210540387,0.203836143,0.391776542,0.362057082,0.330806548,0.079131598,0.342767218,0.220951158
536,CO2 emissions (kg per PPP $ of GDP),2003,0.075212832,0.59437874,0.537444867,0.359842183,0.531944023,0.473466069,0.214882959,0.19208169,0.383740636,0.499740943,0.323376561,0.080953182,0.345684875,0.211523119
537,CO2 emissions (kg per PPP $ of GDP),2004,0.056458259,0.578610312,0.488782767,0.339235893,0.495028331,0.414904047,0.207408239,0.188905895,0.357962874,0.343961547,0.306498924,0.070021866,0.320009368,0.214469372
538,CO2 emissions (kg per PPP $ of GDP),2005,0.074707886,0.553588428,0.51237088,0.319164433,0.468727418,0.329832051,0.197633486,0.21024263,0.362765259,0.31692358,0.295704172,0.07446063,0.322495363,0.200659413
539,CO2 emissions (kg per PPP $ of GDP),2006,0.080076241,0.525306913,0.507263903,0.290628699,0.435348095,0.369408971,0.179970901,0.206519824,0.320096333,0.283588893,0.277431142,0.05733386,0.295267175,0.199976423
540,CO2 emissions (kg per PPP $ of GDP),2007,0.085419224,0.503829026,0.466546241,0.265756218,0.439178642,0.325283118,0.166187418,0.213772329,0.321958844,0.250408651,0.273977806,0.055582711,0.26853872,0.204702864
541,CO2 emissions (kg per PPP $ of GDP),2008,0.123912643,0.486149606,0.463850525,0.263021077,0.410127314,0.266033993,0.158552658,0.176122076,0.293739949,0.261036206,0.256534752,0.057148386,0.26889681,0.190611398
542,CO2 emissions (kg per PPP $ of GDP),2009,0.152037294,0.450476636,0.448661456,0.245124092,0.398928108,0.267255017,0.153249555,0.211115661,0.280958998,0.268172266,0.256629751,0.070426835,0.236134776,0.190207006
543,CO2 emissions (kg per PPP $ of GDP),2010,0.171765222,0.456608219,0.446381285,0.246217335,0.393884164,0.299274482,0.149038914,0.185788983,0.282133136,0.286964605,0.255721366,0.079355652,0.228556575,0.178664405
544,CO2 emissions (kg per PPP $ of GDP),2011,0.233702866,0.420201004,0.429647475,0.213501249,0.383958144,0.250025564,0.136944724,0.207667812,0.296574016,0.272208439,0.262188507,0.084211056,0.211286266,0.17193738
545,CO2 emissions (kg per PPP $ of GDP),2012,0.171085012,0.406224406,0.41250927,0.202834613,0.372108411,0.223277366,0.136748125,0.196314899,0.291067293,0.266780659,0.261337618,0.088700682,0.22079523,0.169779255
546,CO2 emissions (kg per PPP $ of GDP),2013,0.144558321,0.365833359,0.426084312,0.198115992,0.357591828,0.222400266,0.129748969,0.203391275,0.254375953,0.270048278,0.252385385,0.083698086,0.198054767,0.165268038
547,CO2 emissions (kg per PPP $ of GDP),2014,0.134398532,0.344603071,0.443533782,0.179425969,0.346467274,0.202411615,0.114956259,0.201002213,0.239813867,0.280480174,0.241795128,0.089938966,0.18980981,0.165536238
548,CO2 emissions (kg per PPP $ of GDP),2015,0.140016044,0.350226267,0.487696778,0.182568645,0.350344282,0.183861644,0.114465983,0.20871094,0.234865564,0.383416103,0.226609291,0.088781,0.186856997,0.167236503
549,CO2 emissions (kg per PPP $ of GDP),2016,0.132599159,0.345407954,0.474706092,0.171010391,0.331849492,0.185075101,0.109575259,0.20474833,0.225484597,0.415082252,0.225798002,0.131712166,0.165660329,0.179190643
550,CO2 emissions (kg per PPP $ of GDP),2017,0.13415235,0.333636539,0.428086542,0.161361463,0.321773673,0.164164327,0.106510309,0.195551014,0.21712504,0.395796972,0.218696169,0.134651255,0.162078778,0.187760688
551,CO2 emissions (kg per PPP $ of GDP),2018,0.141729245,0.316051559,0.413814493,0.155802001,0.312778359,0.162349678,0.098211549,0.178795173,0.204545307,0.404742973,0.207915911,0.139438354,0.155579202,0.16240793
552,CO2 emissions (kg per PPP $ of GDP),2019,0.137244138,0.300443511,0.425278854,0.145037488,0.302067436,0.143269957,0.088318418,0.181490988,0.179589839,0.404919396,0.200572687,0.117582045,0.148957298,0.153351206
553,CO2 emissions (kg per PPP $ of GDP),2020,0.107514385,0.278380148,0.433617033,0.135571574,0.287961499,0.125611486,0.082137442,0.186777267,0.167761017,0.411203663,0.192676138,0.128222601,0.135238904,0.153341845
554,CO2 emissions (kt),1990,2046.87,263437.5,10737.46,109312.6,419492.2,54562.8,356297.9,33488.3,75619.4,64206.4,1090508.1,938.8,22310.7,59026
